date,amount,note,category,label
2024-03-07 12:00,48000,Pho,Ăn uống,essential
2024-03-08 14:00,28000,Sua hat,Ăn vặt,latte
2024-03-09 15:00,35000,Tra sua Mixue moi mo,Trà sữa,latte
2024-03-09 09:00,60000,Xang xe,Xăng xe,essential
2024-03-10 20:00,280000,Mua giot viet,Mua sắm,latte
2024-03-11 15:30,35000,Tra sua Yifang,Trà sữa,latte
2024-03-11 18:00,150000,Lau mu,Ăn uống,essential
2024-03-12 10:00,25000,Kem tuoi,Ăn vặt,latte
2024-03-13 14:30,40000,Tra sua nep cam,Trà sữa,latte
2024-03-14 19:00,120000,Bua toi chu nhat,Ăn uống,essential
2024-03-15 16:00,27000,Bot chien trung,Ăn vặt,latte
2024-03-16 15:00,35000,Tra sua Bobapop,Trà sữa,latte
2024-03-16 08:00,60000,Xang xe,Xăng xe,essential
2024-03-17 12:00,52000,Com nieu,Ăn uống,essential
2024-03-18 15:30,35000,Tra sua Den Long,Trà sữa,latte
2024-03-18 20:00,200000,Tien nuoc thang 3,Điện nước,essential
2024-03-19 14:00,30000,Nuoc ep dua hau,Ăn vặt,latte
2024-03-20 15:00,40000,Tra sua moi,Trà sữa,latte
2024-03-20 18:00,90000,Ga chien,Ăn uống,essential
2024-03-21 10:00,22000,Nuoc mia,Ăn vặt,latte
2024-03-22 15:30,35000,Tra sua Hi-Tea,Trà sữa,latte
2024-03-22 09:00,60000,Xang xe,Xăng xe,essential
2024-03-23 16:00,25000,Khoai tay,Ăn vặt,latte
2024-03-24 15:00,35000,Tra sua Ding Tea,Trà sữa,latte
2024-03-24 19:00,160000,An toi voi gia dinh,Ăn uống,essential
2024-03-25 14:30,28000,Kem trung muoi,Ăn vặt,latte
2024-03-26 15:00,35000,Tra sua Katinat,Trà sữa,latte
2024-03-26 12:00,45000,Com ga,Ăn uống,essential
2024-03-27 08:00,60000,Xang xe,Xăng xe,essential
2024-03-28 20:00,1500000,Tien nha thang 3,Tiền nhà,essential
2024-03-29 15:30,35000,Tra sua cuoi thang,Trà sữa,latte
2024-03-30 16:00,320000,Mua quan jean,Mua sắm,latte
2024-03-31 09:30,35000,Tra sua mua moi,Trà sữa,latte
